"Permanent resident population in private households by institutional units and household size"

"Canton (-) / District (>>) / Commune (......)";"Household size";"2019"
"Switzerland";"1 person";1371444
"Switzerland";"2 persons";2497220
"Switzerland";"3 persons";1494126
"Switzerland";"4 persons";1909736
"Switzerland";"5 persons";784655
"Switzerland";"6 persons or more";381641
"- Zürich";"1 person";254226
"- Zürich";"2 persons";454866
"- Zürich";"3 persons";267099
"- Zürich";"4 persons";341080
"- Zürich";"5 persons";130070
"- Zürich";"6 persons or more";63395
">> Bezirk Affoltern";"1 person";6763
">> Bezirk Affoltern";"2 persons";16320
">> Bezirk Affoltern";"3 persons";9570
">> Bezirk Affoltern";"4 persons";14380
">> Bezirk Affoltern";"5 persons";5575
">> Bezirk Affoltern";"6 persons or more";2118
"......0001 Aeugst am Albis";"1 person";252
"......0001 Aeugst am Albis";"2 persons";612
"......0001 Aeugst am Albis";"3 persons";351
"......0001 Aeugst am Albis";"4 persons";508
"......0001 Aeugst am Albis";"5 persons";175
"......0001 Aeugst am Albis";"6 persons or more";73
"......0002 Affoltern am Albis";"1 person";1900
"......0002 Affoltern am Albis";"2 persons";3654
"......0002 Affoltern am Albis";"3 persons";2055
"......0002 Affoltern am Albis";"4 persons";2688
"......0002 Affoltern am Albis";"5 persons";1255
"......0002 Affoltern am Albis";"6 persons or more";495
"......0003 Bonstetten";"1 person";648
"......0003 Bonstetten";"2 persons";1622
"......0003 Bonstetten";"3 persons";1023
"......0003 Bonstetten";"4 persons";1624
"......0003 Bonstetten";"5 persons";510
"......0003 Bonstetten";"6 persons or more";121
"......0004 Hausen am Albis";"1 person";444
"......0004 Hausen am Albis";"2 persons";1094
"......0004 Hausen am Albis";"3 persons";606
"......0004 Hausen am Albis";"4 persons";1024
"......0004 Hausen am Albis";"5 persons";390
"......0004 Hausen am Albis";"6 persons or more";168
"......0005 Hedingen";"1 person";480
"......0005 Hedingen";"2 persons";1040
"......0005 Hedingen";"3 persons";657
"......0005 Hedingen";"4 persons";1032
"......0005 Hedingen";"5 persons";390
"......0005 Hedingen";"6 persons or more";159
"......0006 Kappel am Albis";"1 person";143
"......0006 Kappel am Albis";"2 persons";354
"......0006 Kappel am Albis";"3 persons";138
"......0006 Kappel am Albis";"4 persons";292
"......0006 Kappel am Albis";"5 persons";205
"......0006 Kappel am Albis";"6 persons or more";84
"......0007 Knonau";"1 person";220
"......0007 Knonau";"2 persons";656
"......0007 Knonau";"3 persons";393
"......0007 Knonau";"4 persons";688
"......0007 Knonau";"5 persons";270
"......0007 Knonau";"6 persons or more";145
"......0008 Maschwanden";"1 person";84
"......0008 Maschwanden";"2 persons";188
